id;name;age;professional
1;Sleek bluetooth;71466;bypass Incredible olive
2;Soft Steel quantifying;93313;gold
3;invoice 6th;93119;adapter invoice GB
4;back-end Bhutan Bedfordshire;62580;Rustic violet Research
5;deposit Multi-channelled Soap;49206;Berkshire
6;one-to-one infomediaries monitoring;62240;generating architecture
7;旁 optical Dollar);10043;content Mauritius
8;Savings Investor Dram;46610;桥 Table green
9;Strategist Monaco copy;97702;Bedfordshire Practical Distributed
10;Functionality matrix;15260;Supervisor Small
